Model,Type,RMSE,MAE,RÂ²
Traditional_Linear_Regression,Traditional,0.003951550133852768,0.0027627022799929218,0.9876496973844432
Traditional_Random_Forest,Traditional,0.007516868420206066,0.0049243635970512515,0.9553093673260629
Traditional_LightGBM,Traditional,0.007947653703081994,0.005096898020514423,0.9500402245257686
Traditional_Ridge_Regression,Traditional,0.007975060306254325,0.006090015830213972,0.9496950689346174
Traditional_XGBoost,Traditional,0.00805471857666268,0.005226607476511309,0.9486851162900013
Traditional_Gradient_Boosting,Traditional,0.00826561820616329,0.005397305821408916,0.9459627438477157
Traditional_Lasso_Regression,Traditional,0.03585917210536275,0.03049043716311105,-0.01705191954242835
Traditional_SVR,Traditional,0.047638321386006995,0.034724230151022634,-0.794963023971913
Neural_Dense_NN,Neural Network,0.15244293651997956,0.10245854407548904,0.9781062602996826
Neural_LSTM,Neural Network,0.2620094307747327,0.19997663795948029,0.9391733407974243
Neural_GRU,Neural Network,0.30526282938210003,0.23150724172592163,0.9174327254295349
